                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.94933,                 0.8333,                 1.1444,                0.94686,                0.95364,                0.98171,                0.81932,                0.67057,                0.57997,                0.96899,               0.000467,               0.000467,               0.000467
                     36,                 0.8645,                 0.8007,                 1.0898,                 0.9773,                0.97113,                0.99022,                0.80473,                 0.7143,                0.57521,                0.98845,              0.0004387,              0.0004387,              0.0004387
                     37,                0.84835,                0.75092,                 1.0728,                0.98102,                0.97869,                0.99482,                0.82995,                0.64923,                0.54766,                0.96995,             0.00041041,             0.00041041,             0.00041041
                     38,                0.81892,                0.73438,                 1.0889,                0.99013,                0.97807,                  0.995,                0.81118,                0.63577,                0.53684,                0.94675,             0.00038211,             0.00038211,             0.00038211
                     39,                0.86196,                 0.7492,                  1.095,                0.98229,                0.97849,                  0.995,                0.85673,                0.59382,                0.53363,                0.92757,             0.00035382,             0.00035382,             0.00035382
                     40,                0.79362,                0.73182,                  1.074,                0.98243,                0.97778,                0.99442,                0.86651,                 0.5686,                0.50706,                0.92038,             0.00032553,             0.00032553,             0.00032553
                     41,                0.63763,                0.58285,                 0.9653,                0.98407,                0.98045,                  0.995,                0.86691,                 0.5995,                0.54961,                0.93054,             0.00029723,             0.00029723,             0.00029723
                     42,                0.60556,                0.56399,                0.97599,                0.99319,                0.97886,                  0.995,                0.85974,                0.52246,                0.49675,                0.90026,             0.00026894,             0.00026894,             0.00026894
                     43,                0.55248,                0.52688,                0.92911,                0.99254,                0.97712,                0.99469,                0.87756,                0.49142,                0.48638,                0.88882,             0.00024064,             0.00024064,             0.00024064
                     44,                0.55818,                0.52689,                0.93721,                0.98955,                0.97956,                0.99486,                0.88978,                0.46585,                0.46284,                0.87651,             0.00021235,             0.00021235,             0.00021235
                     45,                0.55402,                0.51324,                0.94512,                0.99038,                0.98045,                0.99469,                0.89212,                0.45585,                 0.4557,                0.88252,             0.00018406,             0.00018406,             0.00018406
                     46,                0.52328,                0.48034,                0.92201,                0.99607,                0.97917,                0.99486,                0.89703,                0.45442,                0.45168,                0.87837,             0.00015576,             0.00015576,             0.00015576
                     47,                0.50183,                0.46924,                0.90237,                0.98012,                      1,                  0.995,                0.90262,                0.44977,                0.44205,                0.87037,             0.00012747,             0.00012747,             0.00012747
                     48,                 0.5198,                0.47863,                0.92081,                0.97704,                      1,                  0.995,                0.90791,                0.43558,                0.43373,                0.86568,             9.9173e-05,             9.9173e-05,             9.9173e-05
                     49,                0.47425,                0.46601,                0.87568,                0.97944,                      1,                  0.995,                0.90481,                0.42827,                0.42678,                0.85943,             7.0878e-05,             7.0878e-05,             7.0878e-05
                     50,                0.47687,                 0.4687,                0.89385,                0.97974,                      1,                  0.995,                0.91153,                0.41429,                0.41648,                0.85437,             4.2584e-05,             4.2584e-05,             4.2584e-05
